CustomerNumber,CustomerName,Country,State,City,PlantName,MaterialNumber,BusinessLine,Category,SalesDate,SalesOrder,Volume,Revenue
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2021-01-15 00:00:00,32666621,450,870.95
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2021-01-28 00:00:00,32666655,450,870.95
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2021-02-11 00:00:00,32684388,450,870.95
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2021-02-25 00:00:00,32684429,450,870.95
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2021-03-18 00:00:00,32706434,450,874.9
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2021-04-01 00:00:00,32727130,450,874.9
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2021-04-23 00:00:00,32727197,450,874.9
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2021-05-13 00:00:00,32746032,450,874.9
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2021-06-02 00:00:00,32766652,450,874.9
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2021-06-10 00:00:00,32766693,450,875.85
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2021-06-24 00:00:00,32766762,450,875.85
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2021-07-01 00:00:00,32785672,450,875.85
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2021-07-16 00:00:00,32785743,450,875.85
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2021-07-29 00:00:00,32785801,450,875.85
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2021-08-05 00:00:00,32805705,450,875.85
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2021-08-19 00:00:00,32805763,450,875.85
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2021-09-02 00:00:00,32825514,450,875.85
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2021-09-09 00:00:00,32825539,450,875.85
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2021-09-24 00:00:00,32825588,450,875.85
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2021-10-07 00:00:00,32845001,450,878.85
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2021-10-22 00:00:00,32845038,450,878.85
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2021-11-02 00:00:00,32862972,450,878.85
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2021-11-09 00:00:00,32862997,450,878.85
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2021-12-03 00:00:00,32880659,450,883.85
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2021-12-23 00:00:00,32880711,450,885.3
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2022-01-13 00:00:00,32898661,450,884.45
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2022-02-03 00:00:00,32916704,450,884.45
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2022-02-10 00:00:00,32916728,450,885.3
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2022-02-24 00:00:00,32916766,450,885.3
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2022-03-10 00:00:00,32938133,450,892.85
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2022-03-24 00:00:00,32938165,450,901.25
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2022-04-13 00:00:00,32957002,450,901.25
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2022-04-21 00:00:00,32957028,450,901.25
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2022-04-28 00:00:00,32957052,450,901.25
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2022-05-12 00:00:00,32975229,450,1033.08
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2022-05-19 00:00:00,32975251,450,1033.08
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2022-05-26 00:00:00,32975274,450,907.65
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2022-06-09 00:00:00,32994459,450,1033.08
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2022-06-23 00:00:00,32994507,450,1033.08
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2022-06-30 00:00:00,32994538,300,708.68
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2022-07-07 00:00:00,33011504,450,1033.08
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2022-07-14 00:00:00,33011533,450,1080.28
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2022-07-21 00:00:00,33011561,600,1404.68
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2022-08-04 00:00:00,33031537,450,1076.88
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2022-08-18 00:00:00,33031595,450,1087.8
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2022-09-02 00:00:00,33049841,450,1087.8
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2022-09-08 00:00:00,33049855,450,1087.8
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2022-09-15 00:00:00,33049883,450,1087.8
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2022-10-06 00:00:00,33068152,450,1086.15
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2022-10-18 00:00:00,33068189,450,1086.15
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2022-10-20 00:00:00,33068200,450,1086.15
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2022-11-03 00:00:00,33085377,450,1086.15
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2022-11-17 00:00:00,33085422,450,1086.15
